command,syntax
dot1x guest-vlan enable,"['dot1x guest-vlan vlan-id enable', 'no dot1x guest-vlan enable']"
dot1x guest-vlan enable (Interface),"['dot1x guest-vlan enable', 'no dot1x guest-vlan enable']"
dot1x host-mode,"['dot1x host-mode {multi-host | single-host | multi-sessions}', 'no dot1x host-mode']"
dot1x max-hosts,"['dot1x max-hosts number', 'no dot1x max-hosts']"
dot1x max-req,"['dot1x max-req count', 'no dot1x max-req']"
dot1x port-control,"['dot1x port-control {auto | force-authorized | force-unauthorized}', 'no dot1x port-control']"
dot1x radius-attributes vlan,"['dot1x radius-attribute vlan {reject | static}', 'no dot1x radius-attribute vlan']"
dot1x reauthentication,"['dot1x reauthentication', 'no dot1x reauthentication']"
dot1x system-auth-control,"['dot1x system-auth-control', 'no dot1x system-auth-control']"
dot1x timeout server-timeout,"['dot1x timeout server-timeout seconds', 'no dot1x timeout server-timeout']"
dot1x timeout quiet-period,"['dot1x timeout quiet-period seconds', 'no dot1x timeout quiet-period']"
dot1x timeout reauth-period,"['dot1x timeout reauth-period seconds', 'no dot1x timeout reauth-period']"
dot1x timeout supp-timeout,"['dot1x timeout supp-timeout seconds', 'no dot1x timeout supp-timeout']"
dot1x timeout tx-period,"['dot1x timeout tx-period seconds', 'no dot1x timeout tx-period']"
dot1x violation-mode,"['dot1x violation-mode {restrict | protect | shutdown} [trap seconds]', 'no dot1x violation-mode']"
show dot1x,['show dot1x [interfaces interface-id]']
show dot1x authenticated-hosts,['show dot1x authenticated-hosts']
show dot1x guest-vlan,['show dot1x guest-vlan']
show dot1x sessions,['show dot1x sessions [ {detail | interfaces interface-id | session-id session-id} ]']
aaa authentication enable,"['aaa authentication enable {default | LISTNAME} method1 [method2 .]', 'no aaa authentication enable {default | LISTNAME}']"
aaa authentication login,"['aaa authentication login {default | LISTNAME} method1 [method2.]', 'no aaa authentication login {default | LISTNAME}']"
enable authentication,"['enable authentication LISTNAME', 'no enable authentication']"
enable,"['enable algortithm-type hash-method [level privilege-level] unencrypted-password', 'enable secret 8 [level privilege-level] encrypted-password', 'no enable [level privilege-level]']"
ip http authentication,"['ip http authentication aaa login-authentication [http | https] {default | LISTNAME}', 'no ip http authentication aaa login-authentication [http | https]']"
login authentication,"['login authentication {default | LISTNAME}', 'no login authentication']"
passwords aging,"['passwords aging days', 'no passwords aging']"
passwords complexity attributes,"['passwords complexity min-length number', 'no passwords complexity min-length', 'passwords complexity min-classes number', 'no passwords complexity min-classes', 'passwords complexity not-current', 'no passwords complexity not-current', 'passwords complexity no-repeat number', 'no password complexity no-repeat', 'passwords complexity not-username', 'no passwords complexity not-username']"
passwords complexity enable,"['passwords complexity enable', 'no passwords complexity enable']"
show aaa authentication lists,['show aaa authentication {login | enable} lists']
show line lists,['show line lists']
show passwords configuration,['show passwords configuration']
show username,['show username']
username,"['username USERNAME [privilege (1|15|admin|user)] algorithm-type hash-method secret unencrypted-password', 'username USERNAME [privilege {1 | 15 | admin | user}] {secret 8 {Encrypted encrypted-password }', 'no username USERNAME']"
deny (MAC),"['deny {any | source source-wildcard} {any | destination destination-wildcard} [vlan vlan-id] [cos cos cos-wildcard] [ethtype value] [disable-port]', 'no sequence value']"
deny (IP),"['[sequence value] deny protocol {any | source source-wildcard } {any | destination destination-wildcard} [dscp number | precedence number] [disable-port]', '[sequence value] deny icmp {any | source source-wildcard} {any | destination destination-wildcard } [any | icmp-type] [any | icmp-code] [dscp number | precedence number] [disable-port]', '[sequence value] deny tcp {any | {source source-wildcard} {any | source-port/port-range } }{any | destination destination-wildcard} {any | destination-port/port-range} [dscp number | precedence number ] [match-all list-of-flags] [disable-port]', '[sequence value] deny udp {any | source source-wildcard} {any | source-port/port-range} {any | destination destination-wildcard} {any | destination-port/port-range} [dscp number | precedence number] [disable-port]', 'no sequence value']"
