command,syntax_products
Login Block-for,"[('login block-for seconds attempts tries within seconds', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no login block-for', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300')]"
Surveillance-vlan traffic-source,"[('surveillance-vlan traffic-source default | {mac mac-address|oui OUI} [description description]}', 'cat_1300'), ('no surveillance-vlan traffic-source {mac mac-address|oui OUI}', 'cat_1300')]"
aaa accounting dot1x,"[('aaa accounting dot1x start-stop group radius', 'cbs_250, cbs_350, cat_1300'), ('no aaa accounting dot1x start-stop group radius', 'cbs_250, cbs_350, cat_1300')]"
aaa accounting login start-stop,"[('aaa accounting login start-stop group {radius | tacacs+}', 'cbs_250, cbs_350, cat_1300'), ('no aaa accounting login start-stop', 'cbs_250, cbs_350, cat_1300')]"
aaa authentication dot1x,"[('aaa authentication dot1x default {radius | none | {radius none}', 'cbs_250, cbs_350, cat_1300'), ('no aaa authentication dot1x default', 'cbs_250, cbs_350, cat_1300')]"
aaa authentication enable,"[('aaa authentication enable {default | LISTNAME} method1 [method2 .]', 'cbs_220'), ('no aaa authentication enable {default | LISTNAME}', 'cbs_220'), ('aaa authentication enable [authorization] {default | list-name} method [method2.]}', 'cbs_250, cbs_350, cat_1300'), ('no aaa authentication enable {default | list-name}', 'cbs_250, cbs_350, cat_1300')]"
aaa authentication login,"[('aaa authentication login {default | LISTNAME} method1 [method2.]', 'cbs_220'), ('no aaa authentication login {default | LISTNAME}', 'cbs_220'), ('aaa authentication login [authorization] {default | list-name} method1 [method2.]', 'cbs_250, cbs_350, cat_1300'), ('no aaa authentication login {default | list-name}', 'cbs_250, cbs_350, cat_1300')]"
aaa logging,"[('aaa logging {login}', 'cbs_250, cbs_350, cat_1300'), ('no aaa logging {login}', 'cbs_250, cbs_350, cat_1300')]"
aaa login-history file,"[('aaa login-history file', 'cbs_250, cbs_350, cat_1300'), ('no aaa login-history file', 'cbs_250, cbs_350, cat_1300')]"
absolute,"[('absolute (end | start) HH:MM (jan | feb | mar | apr | may | jun | jul | aug | sep | oct | nov | dec) <1-31> <2000-2037>', 'cbs_220'), ('absolute start hh:mm day month year', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no absolute start', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('absolute end hh:mm day month year', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300'), ('no absolute end', 'cbs_250, cbs_250, cbs_350, cbs_350, cat_1300, cat_1300')]"
