command,products
File Specification,"['cbs_250', 'cbs_350', 'cat_1300']"
Flash File System on Stack,"['cbs_250', 'cbs_350', 'cat_1300']"
Login Block-for,"['cbs_250', 'cbs_350', 'cat_1300']"
Show surveillance-vlan,['cat_1300']
Surveillance-vlan traffic-source,['cat_1300']
System Flash Files,"['cbs_250', 'cbs_350', 'cat_1300']"
aaa accounting dot1x,"['cbs_250', 'cbs_350', 'cat_1300']"
aaa accounting login start-stop,"['cbs_250', 'cbs_350', 'cat_1300']"
aaa authentication dot1x,"['cbs_250', 'cbs_350', 'cat_1300']"
aaa authentication enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
aaa authentication login,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
aaa logging,"['cbs_250', 'cbs_350', 'cat_1300']"
aaa login-history file,"['cbs_250', 'cbs_350', 'cat_1300']"
abort (MST),"['cbs_250', 'cbs_350', 'cat_1300']"
absolute,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
accept-lifetime,"['cbs_250', 'cbs_350', 'cat_1300']"
address (DHCP Host),"['cbs_350', 'cat_1300']"
address (DHCP Network),"['cbs_350', 'cat_1300']"
address-config,"['cbs_350', 'cat_1300']"
address-prefix-validation,"['cbs_350', 'cat_1300']"
allowed-time-range,"['cbs_250', 'cbs_350', 'cat_1300']"
arp,"['cbs_250', 'cbs_350', 'cat_1300']"
arp timeout (Global),"['cbs_250', 'cbs_350', 'cat_1300']"
authentication open,"['cbs_250', 'cbs_350', 'cat_1300']"
auto-default-router,"['cbs_350', 'cat_1300']"
autobaud,"['cbs_350', 'cat_1300']"
back-pressure,"['cbs_250', 'cbs_350', 'cat_1300']"
banner exec,"['cbs_220', 'cbs_250', 'cbs_350']"
banner login,"['cbs_220', 'cbs_250', 'cbs_350']"
bluetooth device-name,['cat_1300']
bluetooth pin,['cat_1300']
bonjour enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
bonjour interface range,"['cbs_250', 'cbs_350', 'cat_1300']"
boot config,"['cbs_250', 'cbs_350', 'cat_1300']"
boot host auto-config,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
boot host auto-update,"['cbs_250', 'cbs_350', 'cat_1300']"
boot localization,"['cbs_250', 'cbs_350', 'cat_1300']"
boot system,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
bootfile,"['cbs_350', 'cat_1300']"
bridge multicast address,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast filtering,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast forbidden address,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast forbidden forward-all,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast forbidden ip-address,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast forbidden source group,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast forward-all,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast ip-address,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast ipv6 forbidden ip-address,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast ipv6 forbidden source group,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast ipv6 ip-address,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast ipv6 mode,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast ipv6 source group,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast mode,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast reserved-address,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast source group,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge multicast unregistered,"['cbs_250', 'cbs_350', 'cat_1300']"
bridge unicast unknown,"['cbs_250', 'cbs_350', 'cat_1300']"
ca-certificate install,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
ca-certificate revoke,"['cbs_250', 'cbs_350', 'cat_1300']"
cbd address,"['cbs_250', 'cbs_350', 'cat_1300']"
cbd connection enable,"['cbs_250', 'cbs_350', 'cat_1300']"
cbd key,"['cbs_250', 'cbs_350', 'cat_1300']"
cbd network name,['cat_1300']
cbd organization name,['cat_1300']
cbd probe enable,"['cbs_250', 'cbs_350', 'cat_1300']"
cbd reset,"['cbs_250', 'cbs_350', 'cat_1300']"
cd,"['cbs_250', 'cbs_350', 'cat_1300']"
cdp advertise-v2,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp appliance-tlv enable,"['cbs_250', 'cbs_350', 'cat_1300']"
cdp appliance-vlan enable,['cbs_220']
cdp device-id format,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp enable,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp holdtime,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp log mismatch duplex,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp log mismatch native,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp log mismatch voip,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp mandatory-tlvs validation,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp pdu,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp run,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
cdp source-interface,"['cbs_250', 'cbs_350', 'cat_1300']"
cdp timer,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
channel-group,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
class,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
class-map,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
clear access-lists counters,"['cbs_250', 'cbs_350', 'cat_1300']"
clear arp-cache,"['cbs_220', 'cbs_250', 'cbs_350', 'cat_1300']"
